Token	NER
Superbes	O
demi-Dieux	O
dont	O
les	O
noms	O
éclatants	O
Triomphent	O
de	O
l'	O
oubli	O
,	O
de	O
la	O
mort	O
et	O
du	O
temps	O
,	O
Vous	O
que	O
je	O
fais	O
revivre	O
avec	O
tant	O
de	O
gloire	O
,	O
Héros	O
contentez-vous	O
des	O
honneurs	O
de	O
l'	O
histoire	O
.	O

Le	O
siècle	O
de	O
Louis	O
confond	O
tout	O
votre	O
orgueil	O
Pourquoi	O
vous	O
retirer	O
des	O
ombres	O
du	O
cercueil	O
,	O
Pour	O
faire	O
à	O
ce	O
grand	O
Roi	O
quelque	O
nouveau	O
spectacle	O
?	O

Son	O
Règne	O
chaque	O
jour	O
nous	O
fournit	O
un	O
miracle	O
,	O
Et	O
s'	O
il	O
lui	O
faut	O
offrir	O
des	O
objets	O
glorieux	O
,	O
Dois-je	O
offrir	O
d'	O
autre	O
objet	O
que	O
lui-même	O
à	O
ses	O
yeux	O
?	O

Mais	O
de	O
ce	O
grand	O
dessein	O
mon	O
âme	O
possédée	O
En	O
peut-elle	O
remplir	O
la	O
glorieuse	O
idée	O
?	O

Louis	O
se	O
verra-t-il	O
,	O
tel	O
qu'	O
il	O
est	O
aujourd'	O
hui	O
,	O
Dans	O
tout	O
ce	O
que	O
ma	O
main	O
entreprendra	O
pour	O
lui	O
?	O

De	O
ce	O
fonds	O
infini	O
de	O
gloire	O
et	O
de	O
merveilles	O
...	O
Mais	O
quel	O
bruit	O
importun	O
a	O
frappé	O
mes	O
oreilles	O
.	O

C'	O
est	O
une	O
de	O
mes	O
soeurs	O
qui	O
pour	O
quelque	O
succès	O
Dans	O
un	O
siècle	O
enjoué	O
se	O
flatte	O
avec	O
excès	O
.	O

Elle	O
vient	O
m'	O
insulter	O
avec	O
cet	O
avantage	O
.	O

Hé	O
bien	O
toujours	O
ma	O
soeur	O
sur	O
quelque	O
grand	O
ouvrage	O
,	O
J'	O
ai	O
tort	O
d'	O
oser	O
ainsi	O
troubler	O
votre	O
repos	O
:	O
Je	O
vois	O
bien	O
qu'	O
au	O
milieu	O
de	O
ces	O
fameux	O
Héros	O
Votre	O
esprit	O
se	O
remplit	O
de	O
sentiments	O
tragiques	O
.	O

Vous	O
n'	O
aimez	O
que	O
les	O
vers	O
enflés	O
et	O
magnifiques	O
.	O

La	O
pompe	O
vous	O
déplaît	O
et	O
vous	O
fait	O
mal	O
aux	O
yeux	O
:	O
Vous	O
décriez	O
partout	O
le	O
langage	O
des	O
Dieux	O
.	O

C'	O
est	O
savoir	O
se	O
connaître	O
,	O
et	O
c'	O
est	O
par	O
cette	O
adresse	O
Qu'	O
étant	O
faible	O
on	O
se	O
fait	O
honneur	O
de	O
sa	O
faiblesse	O
.	O

Selon	O
vous	O
tout	O
est	O
faible	O
,	O
à	O
moins	O
d'	O
être	O
en	O
fureur	O
.	O

Guérissez	O
votre	O
esprit	O
d'	O
une	O
si	O
longue	O
erreur	O
:	O
Je	O
viens	O
vous	O
détromper	O
et	O
non	O
pas	O
vous	O
combattre	O
:	O
Ne	O
me	O
disputez	O
plus	O
la	O
gloire	O
du	O
Théâtre	O
;	O

Votre	O
Règne	O
est	O
passé	O
,	O
le	O
mien	O
vient	O
à	O
son	O
tour	O
;	O

Vous	O
êtes	O
du	O
vieux	O
temps	O
et	O
de	O
la	O
vieille	O
Cour	O
;	O

Tout	O
le	O
monde	O
aime	O
à	O
rire	O
,	O
et	O
j'	O
en	O
sais	O
la	O
méthode	O
:	O
Vos	O
tristes	O
entretiens	O
ne	O
sont	O
plus	O
à	O
la	O
mode	O
;	O

Louis	O
m'	O
aime	O
en	O
un	O
mot	O
,	O
j'	O
ai	O
pour	O
lui	O
des	O
appas	O
.	O

Il	O
vous	O
aime	O
il	O
est	O
vrai	O
,	O
mais	O
il	O
ne	O
me	O
hait	O
pas	O
,	O
Et	O
pour	O
dire	O
tout	O
haut	O
ce	O
que	O
j'	O
en	O
ose	O
croire	O
,	O
Louis	O
me	O
doit	O
aimer	O
puisqu'	O
il	O
aime	O
la	O
gloire	O
.	O

Pouvez-vous	O
inspirer	O
ces	O
nobles	O
mouvements	O
,	O
Ces	O
belles	O
passions	O
,	O
et	O
ces	O
grands	O
sentiments	O
,	O
Que	O
je	O
fais	O
si	O
souvent	O
éclater	O
sur	O
la	O
Scène	O
?	O

La	O
gloire	O
des	O
héros	O
et	O
la	O
vertu	O
Romaine	O
Qui	O
la	O
sait	O
mieux	O
que	O
moi	O
retirer	O
du	O
cercueil	O
?	O

Qui	O
la	O
fait	O
mieux	O
revivre	O
avec	O
tout	O
son	O
orgueil	O
?	O

Pour	O
rendre	O
dignement	O
présents	O
à	O
sa	O
mémoire	O
Ces	O
exemples	O
fameux	O
de	O
vaillance	O
et	O
de	O
gloire	O
?	O

Avez-vous	O
comme	O
moi	O
d'	O
assez	O
nobles	O
chaleurs	O
?	O

Avez-vous	O
comme	O
moi	O
d'	O
assez	O
riches	O
couleurs	O
?	O

Quoique	O
l'	O
ingénieuse	O
et	O
savante	O
satire	O
Mêle	O
le	O
soin	O
de	O
plaire	O
à	O
la	O
gloire	O
d'	O
instruire	O
,	O
Louis	O
peut-il	O
tirer	O
de	O
ces	O
enseignements	O
,	O
De	O
ces	O
faibles	O
leçons	O
,	O
de	O
ces	O
amusements	O
,	O
Ces	O
sentiments	O
d'	O
honneur	O
,	O
dont	O
une	O
âme	O
enflammée	O
Soupire	O
pour	O
la	O
gloire	O
et	O
pour	O
la	O
renommée	O
?	O

L'	O
art	O
de	O
porter	O
un	O
Sceptre	O
et	O
de	O
le	O
maintenir	O
?	O

L'	O
art	O
de	O
récompenser	O
et	O
celui	O
de	O
punir	O
?	O

Ce	O
que	O
vous	O
enseignez	O
n'	O
est	O
que	O
pour	O
le	O
vulgaire	O
;	O

Ainsi	O
contentez-vous	O
de	O
la	O
gloire	O
de	O
plaire	O
.	O

Et	O
n'	O
est-ce	O
pas	O
assez	O
de	O
pouvoir	O
quelquefois	O
Divertir	O
le	O
plus	O
sage	O
et	O
le	O
plus	O
grand	O
des	O
Rois	O
?	O

Après	O
que	O
tous	O
les	O
jours	O
sa	O
sagesse	O
profonde	O
A	O
su	O
dans	O
son	O
Conseil	O
régler	O
le	O
sort	O
du	O
monde	O
,	O
Est-ce	O
peu	O
que	O
l'	O
honneur	O
de	O
délasser	O
un	O
Roi	O
De	O
ces	O
soins	O
assidus	O
,	O
de	O
ce	O
pénible	O
emploi	O
,	O
Pour	O
le	O
mettre	O
en	O
état	O
de	O
reprendre	O
avec	O
joie	O
Cette	O
noble	O
fatigue	O
où	O
son	O
zèle	O
l'	O
emploie	O
?	O

Mais	O
c'	O
est	O
trop	O
peu	O
pour	O
vous	O
,	O
votre	O
orgueil	O
aujourd'	O
hui	O
Fait	O
de	O
votre	O
Théâtre	O
une	O
école	O
pour	O
lui	O
;	O

Pour	O
lui	O
qui	O
pour	O
régner	O
n'	O
a	O
besoin	O
de	O
personne	O
,	O
Et	O
qui	O
soutient	O
lui	O
seul	O
le	O
poids	O
de	O
la	O
Couronne	O
.	O

Vantez-vous	O
de	O
l'	O
instruire	O
,	O
il	O
en	O
sait	O
plus	O
que	O
vous	O
:	O
Ma	O
gloire	O
est	O
de	O
lui	O
plaire	O
et	O
c'	O
est	O
assez	O
pour	O
nous	O
.	O

Ne	O
puis-je	O
pas	O
ma	O
soeur	O
,	O
ne	O
m'	O
est-il	O
pas	O
facile	O
De	O
joindre	O
quand	O
je	O
veux	O
l'	O
agréable	O
à	O
l'	O
utile	O
?	O

Est-il	O
rien	O
d'	O
aussi	O
beau	O
qu'	O
un	O
transport	O
glorieux	O
Que	O
pousse	O
avec	O
éclat	O
un	O
coeur	O
ambitieux	O
,	O
Qu'	O
une	O
intrigue	O
de	O
Cour	O
menée	O
avec	O
adresse	O
,	O
Qu'	O
un	O
entretien	O
mêlé	O
de	O
flamme	O
et	O
de	O
tendresse	O
?	O

Quelle	O
douceur	O
alors	O
qu'	O
un	O
malheureux	O
amant	O
,	O
Touche	O
le	O
spectateur	O
d'	O
un	O
tendre	O
sentiment	O
!	O

Lorsque	O
je	O
fais	O
agir	O
cette	O
adresse	O
admirable	O
Et	O
ce	O
bel	O
art	O
qui	O
rend	O
la	O
douleur	O
agréable	O
,	O
Et	O
qui	O
des	O
maux	O
d'	O
autrui	O
nous	O
faisant	O
soupirer	O
Fait	O
trouver	O
si	O
souvent	O
de	O
la	O
joie	O
à	O
pleurer	O
.	O

Pour	O
vous	O
qui	O
vous	O
piquez	O
de	O
divertir	O
le	O
monde	O
Donnez-vous	O
une	O
joie	O
et	O
solide	O
et	O
profonde	O
?	O

Le	O
ris	O
,	O
l'	O
emportement	O
,	O
n'	O
ont	O
qu'	O
un	O
charme	O
trompeur	O
,	O
Les	O
sensibles	O
plaisirs	O
sont	O
dans	O
le	O
fond	O
du	O
coeur	O
,	O
Et	O
ce	O
sont	O
là	O
ma	O
soeur	O
les	O
plaisirs	O
que	O
je	O
donne	O
.	O

Vos	O
charmes	O
sont	O
puissants	O
,	O
mais	O
on	O
vous	O
abandonne	O
,	O
On	O
ne	O
veut	O
plus	O
de	O
vous	O
,	O
tout	O
le	O
monde	O
est	O
pour	O
moi	O
.	O

Et	O
pour	O
vous	O
en	O
parler	O
ici	O
de	O
bonne	O
foi	O
,	O
La	O
pompe	O
de	O
vos	O
vers	O
plaît	O
moins	O
que	O
ma	O
satire	O
;	O

Apprenez	O
que	O
pour	O
plaire	O
,	O
il	O
faut	O
savoir	O
médire	O
:	O
Voilà	O
tout	O
le	O
secret	O
pour	O
aider	O
mon	O
dessein	O
,	O
Il	O
se	O
glisse	O
en	O
naissant	O
dans	O
tout	O
le	O
genre	O
humain	O
Un	O
chagrin	O
qui	O
s'	O
attache	O
à	O
la	O
plus	O
belle	O
vie	O
,	O
Une	O
maligne	O
humeur	O
que	O
l'	O
on	O
appelle	O
envie	O
.	O

Par	O
là	O
la	O
médisance	O
a	O
des	O
charmes	O
pour	O
tous	O
;	O

Surtout	O
en	O
déguisant	O
sa	O
malice	O
et	O
ses	O
coups	O
Sous	O
une	O
délicate	O
et	O
fine	O
raillerie	O
.	O

Pour	O
mordre	O
impunément	O
il	O
suffit	O
qu'	O
on	O
en	O
rie	O
.	O

Ce	O
sont	O
là	O
des	O
secrets	O
dont	O
je	O
fais	O
peu	O
de	O
cas	O
,	O
Mais	O
au	O
moins	O
ménagez	O
cette	O
source	O
d'	O
appas	O
,	O
Ce	O
trésor	O
de	O
venin	O
,	O
ce	O
fonds	O
de	O
médisance	O
,	O
Ne	O
le	O
prodiguez	O
pas	O
avec	O
tant	O
de	O
licence	O
.	O

Comme	O
le	O
ridicule	O
est	O
court	O
et	O
limité	O
,	O
On	O
craint	O
pour	O
vos	O
sujets	O
quelque	O
stérilité	O
.	O

Que	O
vous	O
connaissez	O
mal	O
le	O
fonds	O
de	O
ma	O
satire	O
!	O

Je	O
prends	O
de	O
tous	O
côtés	O
la	O
matière	O
de	O
rire	O
;	O

L'	O
univers	O
m'	O
en	O
fournit	O
de	O
l'	O
un	O
à	O
l'	O
autre	O
bout	O
,	O
Mon	O
Empire	O
est	O
sans	O
borne	O
et	O
mon	O
fonds	O
est	O
partout	O
.	O

Ne	O
vous	O
flattez	O
donc	O
pas	O
d'	O
une	O
vaine	O
espérance	O
,	O
Et	O
quand	O
d'	O
un	O
monde	O
entier	O
j'	O
obtiens	O
la	O
préférence	O
.	O

En	O
voulez-vous	O
juger	O
?	O

Vos	O
yeux	O
sont-ils	O
meilleurs	O
...	O
Non	O
;	O

mais	O
adressons-nous	O
à	O
celle	O
de	O
nos	O
soeurs	O
,	O
Qui	O
connaît	O
comme	O
nous	O
les	O
grâces	O
de	O
la	O
scène	O
;	O

Qu'	O
elle	O
règle	O
entre	O
nous	O
une	O
palme	O
incertaine	O
.	O

Elle	O
vient	O
;	O

je	O
l'	O
entends	O
;	O

ces	O
sons	O
mélodieux	O
Font	O
parler	O
hautement	O
les	O
échos	O
de	O
ces	O
lieux	O
.	O

Approchons	O
.	O

Ah	O
ma	O
soeur	O
gardez	O
de	O
l'	O
interrompre	O
.	O

Je	O
vois	O
que	O
vous	O
songez	O
ma	O
soeur	O
à	O
la	O
corrompre	O
.	O

Que	O
vous	O
m'	O
avez	O
charmée	O
avec	O
un	O
air	O
si	O
doux	O
!	O

Notre	O
grand	O
Apollon	O
n'	O
en	O
sait	O
pas	O
plus	O
que	O
vous	O
.	O

On	O
vous	O
flatte	O
ma	O
soeur	O
,	O
mais	O
vous	O
êtes	O
fidèle	O
.	O

Vous	O
venez	O
à	O
propos	O
finir	O
notre	O
querelle	O
:	O
Sous	O
savez	O
le	O
Théâtre	O
,	O
et	O
c'	O
est	O
là	O
votre	O
emploi	O
;	O

Sa	O
vanité	O
prétend	O
de	O
l'	O
emporter	O
sur	O
moi	O
,	O
Et	O
croit	O
que	O
sur	O
la	O
scène	O
,	O
elle	O
à	O
tout	O
l'	O
avantage	O
.	O

Quoi	O
mes	O
soeurs	O
votre	O
honneur	O
dépend	O
de	O
mon	O
suffrage	O
!	O

Donc	O
le	O
prix	O
n'	O
est	O
ici	O
disputé	O
qu'	O
entre	O
vous	O
:	O
J'	O
admire	O
